Dates,TMW,CCycleMW,WindPMW,GasTMW,SteamTMW,DieselEMW,HydroEMW,SolarMW,TGW,CCycleGW,WindGW,GasTGW,SteamTGW,DieselEGW,HydroGW,SolarGW
2000-01-01,2488.33,175.0,0.0,775.6,591.5,588.21,358.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,2833.58,375.0,0.0,754.5,645.1,691.26,367.72,0.0,9435.17,557.49,0.0,1918.4,2629.56,3634.0,695.74,0.0
2002-01-01,2928.08,485.0,0.0,676.2,606.2,696.96,463.72,0.0,10081.45,1607.72,0.0,856.22,2462.99,4284.0,870.53,0.0
2003-01-01,3351.54,804.0,0.0,676.2,606.2,800.76,464.38,0.0,10396.23,1430.49,0.0,1186.09,2296.83,4290.0,1192.81,0.0
2004-01-01,3252.04,804.0,0.0,572.7,606.2,800.76,468.38,0.0,8867.84,2426.44,0.0,16.85,1679.22,3145.0,1600.34,0.0
2005-01-01,3163.94,804.0,0.0,572.7,606.2,712.66,468.38,0.0,9822.97,2379.59,0.0,16.74,1994.44,3524.0,1908.21,0.0
2006-01-01,3196.48,804.0,0.0,572.7,606.2,744.3,469.28,0.0,10708.14,2829.97,0.0,110.31,2307.11,3711.0,1749.74,0.0
2007-01-01,3196.5,804.0,0.0,572.7,606.2,744.3,469.3,0.0,11088.0,2820.0,0.0,393.0,2320.0,3854.0,1701.0,0.0
2008-01-01,2948.16,804.0,0.0,370.5,606.2,695.16,472.3,0.0,11646.47,3493.36,0.0,379.3,2358.64,4031.6,1383.56,0.0
2009-01-01,2970.53,804.0,0.0,350.38,606.2,716.22,493.73,0.0,11529.42,3040.58,0.0,512.12,2488.84,4023.42,1464.46,0.0
2010-01-01,2998.6,804.0,0.0,336.0,603.5,731.9,523.2,0.0,12271.7,3112.5,0.0,1278.6,2426.0,4020.0,1434.6,0.0
2011-01-01,2996.6,795.1,0.0,336.0,603.1,739.2,523.2,0.0,12960.5,3511.0,0.0,1523.7,2238.5,4156.3,1531.0,0.0
2012-01-01,3156.28,781.0,33.3,336.0,489.93,972.89,543.2,0.0,13848.45,3299.58,67.9,1428.31,2829.04,4439.21,1784.45,0.0
2013-01-01,3695.56,786.83,81.1,480.0,603.4,1161.0,583.2,0.0,14095.04,2976.53,197.0,2232.54,2066.12,4740.22,1882.64,0.0
2014-01-01,3755.75,795.0,85.0,480.0,603.4,1204.4,588.0,0.0,14341.88,2536.0,246.9,2295.85,2213.58,5726.21,1323.33,0.0
2015-01-01,3701.06,795.0,85.5,480.0,603.4,1135.35,601.86,0.0,14955.62,3068.7,283.8,2432.38,2101.19,6135.58,934.02,0.0
2016-01-01,3691.81,795.0,106.2,480.0,545.04,1153.47,612.1,17.1,15868.14,3654.89,312.6,1428.44,2140.64,6831.24,1500.33,23.4
